ID,Title,Author(s),Source,Journal,Language(s),Publication year,PID_limpo,URL_PT,Titulo_PT,Resumo_PT,Palavras_Chave_PT,status,fonte_extracao,url_acedida
" ""S1982-88372022000300013-scl""",A sala de aula invertida no Ensino Superior: uma experiência nas aulas de língua alemã,"Marques, Lívia dos Santos",Pandaemonium Germanicum; 25(47); 13-36,Pandaemonium Germanicum,Português,2022,S1982-88372022000300013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372022000300013&tlng=pt,A sala de aula invertida no Ensino Superior: uma experiência nas aulas de língua alemã,"Durante a pandemia de Covid-19, foi necessária adoção de novas medidas no ensino superior, a fim de manter o distanciamento social. Dessa maneira, o ensino remoto, tendo como base estudos sobre o ensino híbrido, tornou-se uma opção em uma disciplina de língua alemã da graduação. As pesquisas sobre sala de aula invertida online (Lee, Wallace 2018; Leffa, Duarte, Alda 2016; Reidsema, Kavanagh, Hadgraft 2017; Rozenfeld, Schäfer 2021; Valente 2014), mais especificamente, ajudaram-nos a estruturar um modelo, cujo primeiro contato assíncrono com o conteúdo antecedeu aulas práticas síncronas. O presente artigo tem como objetivo abordar a organização da disciplina pela professora e sua recepção por parte dos aprendizes. Dessa maneira, realizou-se uma pesquisa-ação, qualitativa, na qual foram coletados dados, a partir de documentos produzidos pela professora (calendário da disciplina e folhas de exercícios), assim como atividades e questionários respondidos pelos alunos. Por meio da análise dos dados, consideramos que o novo formato tem como foco o uso prático da língua, por meio da escrita colaborativa, role-plays, desenvolvimento de projetos, entre outras atividades, e foi bem recebido pelos alunos. Contudo, há ainda futuros encaminhamentos para a pesquisa, a fim de analisar o planejamento das aulas e avaliações.",Ensino remoto; Sala de aula invertida; Graduação em alemão como língua estrangeira,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1982-88372022000300013&collection=scl&format=json
S1984-92302022000400750-scl,"A Pragmatic Way to Open Management Research and Education: Playfulness, Ambiguity, and Deterritorialization","Vaujany, François-Xavier de, Heimstädt, Maximilian",Organizações &amp; Sociedade; 29(103); 750-781,Organizações &amp; Sociedade,"Inglês, Português",2022,S1984-92302022000400750,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302022000400750&tlng=pt,"Uma Forma Pragmática de Abrir a Pesquisa e a Educação em Gestão: Ludicidade, Ambiguidade e Desterritorialização","O movimento da ciência aberta alcançou a pesquisa e a educação em gestão. Em todo o mundo, os acadêmicos de gestão discutem, pesquisam e avaliam formas de tornar as suas práticas de trabalho menos “fechadas” e mais “abertas”. Entretanto, de que forma, exatamente, essas novas práticas de trabalho mudam o conhecimento e o ensino em gestão depende, em grande medida, da interpretação filosófica que os profissionais fazem de 'abertura'. Atualmente, a abertura na pesquisa e na educação em gestão é interpretada principalmente como uma característica da entrada ou saída do trabalho de conhecimento. Essas interpretações concebem a pesquisa e a educação como entidades relativamente estáveis, que podem ser abertas em alguns pontos claramente definidos. O nosso estudo tem por objetivo superar essa concepção e propor uma interpretação nova e mais radical de abertura. Propomos reconsiderar a abertura por meio da abordagem processual do Pragmatismo americano e, assim, em um sentido que dispense a exigência da predisposição da pesquisa e da educação como entidades estáveis. Por meio desta interpretação de abertura, a pesquisa e a educação em gestão podem ser transformadas em um movimento democrático coprodutivo, que pode trazer conhecimentos comuns entrelaçados com os verdadeiros problemas societais e de gestão. Para oferecer uma primeira descrição da abertura como um processo que pode transformar a pesquisa e a educação em gestão, analisamos o material etnográfico a partir de dois tipos de experimentos pragmáticos, facilitados pelo primeiro autor entre 2016 e 2021. Identificamos três dimensões-chave no processo de abertura da pesquisa e da educação: ludicidade, ambiguidade e desterritorialização. O nosso estudo avança os debates sobre a questão de como a pesquisa em gestão pode ser mais imediatamente útil para abordar as preocupações dos profissionais e estudantes de gestão.",ciência aberta; abertura; pragmatismo; John Dewey; ludicidade; ambiguidade; desterritorialização; filosofia do processo,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1984-92302022000400750&collection=scl&format=json
S0103-64402022000600044-scl,Development and professional validation of an App to support Oral Cancer Screening,"Rêgo, Talita Jordânia Rocha do, Lemos, José Vitor Mota, Matos, Amanda Pinheiro Leitão, Caetano, Caio Ferreira Freire, Dantas, Thinali Sousa, Sousa, Fabrício Bitu, Barros Filho, Edgar Marçal de, Silva, Paulo Goberlânio de Barros",Brazilian Dental Journal; 33(6); 44-55,Brazilian Dental Journal,Inglês,2022,S0103-64402022000600044,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402022000600044&tlng=pt,,"O objetivo deste estudo foi desenvolver e validar um aplicativo para identificação de fatores de risco para câncer bucal. Para tanto, desenvolvemos um aplicativo (OCS: Oral Cancer Screening) com preditores de Câncer Oral (CO) e montagem de algoritmo para estimar o risco de seu desenvolvimento. Metodologia: Casos clínicos simulados foram projetados para que 40 profissionais com expertise em diagnóstico oral pudessem validar o algoritmo e testar sua usabilidade (SUS: System Usabilidade Score) e aceitabilidade (TAM: Technology Acceptance Model). O coeficiente alfa de Cronbach, os testes de Friedman/Dunn e a correlação de Spearman avaliaram as escalas SUS e TAM. A curva ROC foi traçada para estimar o ponto de corte do algoritmo ao sugerir um alto risco para OCS dos casos simulados. Os testes do qui-quadrado e exato de Fisher foram usados adicionalmente (p<0,05, SPSS v20.0). Resultados: Profissionais com expertise em diagnóstico oral tiveram usabilidade de 84,63±10,66 e aceitabilidade de 84,75±10,62, que se correlacionaram positivamente (p<0,001, r=0,647). Atuar em áreas clínicas da odontologia (p=0,034) e histórico de realização de CO orientação de fator de risco (p=0,048) aumentaram a aceitabilidade enquanto atuar no ensino superior aumentou a usabilidade (p=0,011). O ponto de corte sugerido pelo App após validação dos casos clínicos simulados apresentou alta sensibilidade de 84,8% e baixa especificidade de 58,4%. Conclusão: O OCS foi eficaz e com sensibilidade, usabilidade e aceitabilidade adequadas e pode contribuir para a detecção de lesões orais precoces.",,ok_parcial,articlemeta_isis[R],http://articlemeta.scielo.org/api/v1/article?code=S0103-64402022000600044&collection=scl&format=json
S1980-57642022000500457-scl,Prevalence of cognitive impairment in Brazilian indigenous community from Amazonas,"Carvalho, Anna Paula de, Brucki, Sonia Maria Dozzi, Nitrini, Ricardo, Bezerra, Camila Carlos, Silva, Fernanda Carini da, Souza-Talarico, Juliana Nery de",Dementia &amp; Neuropsychologia; 16(4); 457-465,Dementia &amp; Neuropsychologia,Inglês,2022,S1980-57642022000500457,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642022000500457&tlng=pt,PREVALÊNCIA DE COMPROMETIMENTO COGNITIVO EM INDÍGENAS BRASILEIROS DO AMAZONAS,"RESUMO. No mundo, estudos sobre a prevalência de demência em idosos indígenas são insuficientes, porém nas evidências disponíveis, a prevalência varia de baixa a muito alta, com início precoce da doença e elevada taxa de mortalidade após o diagnóstico inicial. As evidências em países de baixa e média renda são escassas, e neles a prevalência de demência aumentará significativamente nas próximas décadas. Objetivo: Determinar a prevalência de déficit cognitivo e fatores associados em indígenas brasileiros da etnia Mura no Amazonas, Brasil. Métodos: Duzentos e dezessete indígenas com 50 anos ou mais do Amazonas, Brasil, foram submetidos a avaliação cognitiva. Atenção, memória, fluência verbal, desempenho visuoespacial e estado de humor compuseram o diagnóstico de déficit cognitivo. Resultados: A prevalência de déficit cognitivo foi de 43,3% (intervalo de confiança - IC95% 36,6-49,7) e variou de acordo com a idade [odds ratio - OR=1,03 (IC95% 1,00-1,06)], educação [OR=0,74 (IC95% 0,62-0,87)], índice de massa corporal [OR=0,91 (IC95% 0,83-0,98)] e renda [OR=0,52 (IC95% 0,27-0,99)]. Conclusões: O comprometimento cognitivo teve início precoce na comunidade indígena, sendo sua prevalência maior em idosos com baixa escolaridade e baixa renda familiar. Esses achados destacam a importância da implementação de políticas públicas de saúde indígena, com foco na formação de profissionais de saúde, para a detecção precoce do déficit cognitivo.",Disfunção Cognitiva; Demência; Grupos Populacionais; Epidemiologia; Prevalência,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1980-57642022000500457&collection=scl&format=json
S1980-57642022000500481-scl,Three verbal fluency tasks: Normative data and convergent validity in Argentines over 50 years,"Martino, Pablo, Cervigni, Mauricio, Portillo, Nelson, Gallegos, Miguel, Politis, Daniel, Bortoli, Miguel Ángel De, Vivas, Jorge",Dementia &amp; Neuropsychologia; 16(4); 481-488,Dementia &amp; Neuropsychologia,Inglês,2022,S1980-57642022000500481,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642022000500481&tlng=pt,Três tarefas de fluência verbal: dados normativos e validade convergente em argentinos com mais de 50 anos,"As tarefas de fluência verbal são frequentemente utilizadas na avaliação neuropsicológica, destacando-se pela facilidade de aplicação e boa sensibilidade ao comprometimento cognitivo incipiente. No entanto, na Argentina, a disponibilidade de padrões atualizados é limitada, especialmente pela variante de fluência de ações. Assim sendo, a evidência de validade é escassa.  Objetivos: Obter normas argentinas para três tarefas de fluência verbal e analisar sua validade convergente.  Métodos: Usando um método de amostragem não probabilística, 303 argentinos de uma população não clínica (idade M=66,8, 50–91 anos) foram recrutados para participar deste estudo. Foram excluídos aqueles com condições médicas que pudessem comprometer o desempenho neuropsicológico. Três tarefas de fluência verbal (ou seja, fonológica, semântica e ações), o teste Montreal Cognitive Assessment (MoCA) e o teste Digit Span-WAIS III foram administrados. Correlações e regressão múltipla foram realizadas posteriormente.  Resultados: A escolaridade e a idade explicaram significativamente 11,8% da variância da fluência fonológica, 15,8% da variância da fluência semântica e 20,2% da variância da fluência de ações. Assim, os dados normativos variaram de acordo com a escolaridade e a faixa etária, com limite de desempenho normal entre 9 e 14 para fluência fonológica, 11 e 18 para fluência semântica e 8 e 17 para fluência de ações. Foram obtidas correlações positivas entre todas as tarefas de fluência verbal, bem como entre estas, o teste MoCA e o Digit Span.  Conclusões: Este estudo apoia a aplicabilidade de três tarefas de fluência verbal no contexto argentino, fornecendo normas corrigidas por idade e educação e evidências aceitáveis de validade convergente.",Testes Neuropsicológicos; Idioma; Fala; Argentina; Reprodutibilidade dos Testes; Fluência Verbal,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1980-57642022000500481&collection=scl&format=json
S1414-462X2022000400606-scl,Desafios dos laboratórios públicos da área de saúde ambiental para implantação e manutenção dos requisitos de normativas da qualidade para monitoramento da água de consumo humano,"Rodrigues, Elô de Oliveira, Rodrigues, Janaína Marques, Borges, Paulo Paschoal, Sena, Rodrigo Caciano de, Almeida, Marcelo Dominguez de",Cadernos Saúde Coletiva; 30(4); 606-614,Cadernos Saúde Coletiva,Português,2022,S1414-462X2022000400606,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2022000400606&tlng=pt,Desafios dos laboratórios públicos da área de saúde ambiental para implantação e manutenção dos requisitos de normativas da qualidade para monitoramento da água de consumo humano,"Introdução O Ministério da Saúde (MS) é responsável pela vigilância da qualidade da água de consumo humano. A confiabilidade nos resultados do monitoramento de parâmetros analíticos minimiza riscos à saúde pública.  Objetivo Retratar aspectos funcionais, a aplicação de ferramentas da qualidade e a aderência dos laboratórios públicos que atuam no monitoramento da água de consumo humano aos requisitos da norma ABNT NBR ISO/IEC 17025.  Método A pesquisa foi realizada com 30 laboratórios públicos de todas as regiões do país, respondendo a um questionário elaborado com 49 perguntas sobre a formação e capacidade dos profissionais, garantia da validade dos resultados e sobre a determinação de parâmetros da qualidade da água.  Resultados Dos 161 profissionais, 46% possuem mais de 10 anos de experiência e 65% têm formação superior. Capacitações específicas foram requeridas por todos. A validação dos métodos analíticos não foi realizada por 59%. Materiais de referência certificados são acessados por 41% e apenas 18% têm facilidade em adquiri-los. A participação em ensaios de proficiência foi reportada por 68% dos laboratórios, mas com poucos parâmetros avaliados e dificuldades em contratar provedores.  Conclusão Evidenciou-se a necessidade de ações para fortalecimento da metrologia em laboratórios públicos que atuam na vigilância da qualidade da água.",água de consumo humano; laboratórios públicos; rastreabilidade metrológica; ferramentas da qualidade,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1414-462X2022000400606&collection=scl&format=json
S2179-89662022000402340-scl,Acesso ao ensino superior: efetividade normativa das cotas socioeconômicas,"Brito, Lauro Gurgel de, Sousa, Francisco Cavalcante de, Santos, Tharleton Luis de Castro",Revista Direito e Práxis; 13(4); 2340-2373,Revista Direito e Práxis,Português,2022,S2179-89662022000402340,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-89662022000402340&tlng=pt,Acesso ao ensino superior: efetividade normativa das cotas socioeconômicas,"Ações afirmativas são medidas especiais e temporárias que visam a reduzir desigualdades e a garantir oportunidades a sujeitos em situação de vulnerabilidade. Uma delas consiste em reservar vagas em universidades a alunos provenientes de escolas públicas. O objetivo deste artigo é avaliar se esse modelo de ação possui efetividade normativa no âmbito da Faculdade de Direito da UERN e mapear experiências nesse sentido. Trata-se de estudo de caso, com relevância acadêmica, jurídica e social, ao contribuir com o debate acerca do tema, avaliar políticas públicas e impactar na vida institucional. Fruto de pesquisa exploratória, bibliográfica e documental, método dedutivo e abordagem quantitativa, constata que, considerando o universo pesquisado, os ingressantes cotistas concluem o curso de Direito em igual prazo quando comparados com os não cotistas. Assim, essa ação afirmativa tem se revelado efetiva ao atender as expectativas geradas pela lei instituidora, garantindo o ingresso e a formação jurídica de modo equitativo a pessoas de menor poder aquisitivo.",Ações afirmativas; Cotas socioeconômicas; Efetividade normativa,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S2179-89662022000402340&collection=scl&format=json
S1414-462X2022000400507-scl,A Política Nacional de Educação Permanente em Saúde e sua relação com a odontologia,"Almeida, Janaína Rocha de Sousa, Bizerril, Davi Oliveira, Saldanha, Kátia de Gois Holanda, Forte, Franklin Delano Soares, Almeida, Maria Eneide Leitão de",Cadernos Saúde Coletiva; 30(4); 507-516,Cadernos Saúde Coletiva,Português,2022,S1414-462X2022000400507,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2022000400507&tlng=pt,A Política Nacional de Educação Permanente em Saúde e sua relação com a odontologia,"Introdução O Sistema Único de Saúde tem passado por diversas mudanças, assim, diante do desafio de formação dos profissionais da saúde, o Ministério da Saúde instituiu a Política Nacional de Educação Permanente em Saúde (PNEPS), e a Educação Permanente em Saúde (EPS) passou a ser uma estratégia de transformação.  Objetivo Analisar a percepção dos cirurgiões-dentistas (CD) sobre a PNEPS.  Método Trata-se de um estudo epidemiológico, transversal e qualitativo, realizado no município de Fortaleza-CE. A população-alvo foram os CDs da Estratégia Saúde da Família (n = 173). Os dados foram coletados por meio de um questionário. A caracterização dos sujeitos da pesquisa foi realizada através do cálculo de frequência absoluta e percentual. Para avaliar as questões discursivas utilizou-se a análise de conteúdo de Bardin.  Resultados A idade média da amostragem foi de 38.8 anos (±8.6), e o tempo de formação de 16.0 anos (±7.4). A maioria dos entrevistados eram do gênero feminino (74,6%) e casados (72,8%). As categorias encontradas foram: necessidade de atividades de EPS, aprendizagem significativa, trabalho em equipe, e Tecnologias Digitais de Informação e Comunicação (TDICs).  Conclusão A EPS deve ser significativa, discutindo as dificuldades referentes ao trabalho em equipe. Dessa forma, sugere-se a utilização das TDICs para o desenvolvimento das atividades.",educação; estratégia saúde da família; saúde bucal,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1414-462X2022000400507&collection=scl&format=json
S0101-31572022000401043-scl,Measuring human capital: methodological framework for assessing competitiveness and economic development,"KORYAKOV, ALEXEY, KAZARYAN, IRINA, AFONASOVA, MARGARITA, LITVIN, IRINA",Brazilian Journal of Political Economy; 42(4); 1043-1061,Brazilian Journal of Political Economy,Inglês,2022,S0101-31572022000401043,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572022000401043&tlng=pt,Medindo o capital humano: quadro metodológico para avaliar a competitividade e o desenvolvimento econômico,"Este artigo enfocou a relação entre capital humano (HC) e competitividade na Rússia. O estudo examinou (1) o impacto dos investimentos em indústrias intensivas em conhecimento no desenvolvimento socioeconômico; (2) o impacto da proporção de empregados; (3) o impacto de fatores religiosos no HC; e (4) os problemas de formação de H em empresas inovadoras. Em nível nacional, os investimentos em indústrias intensivas em conhecimento não têm efeito sobre o desenvolvimento socioeconômico do país. O crescimento do PIB provou estar diretamente relacionado ao desejo das pessoas de melhorar suas qualificações. O impacto dos fatores culturais, educacionais e de saúde diferem entre as regiões.",Capital humano; inovação; investimento; métodos de medição; qualificação.,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0101-31572022000401043&collection=scl&format=json
S0102-09352022000601007-scl,Demographics and health care profiles of dogs and cats associated with the socioeconomic profile of their tutors in areas assisted by Family Health Strategies in Brazil,"Felipetto, L.G., Fernandes, F.D., Vogel, F.S.F., Flores, E.F., Botton, S.A., Sangioni, L.A.",Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 74(6); 1007-1016,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Inglês,2022,S0102-09352022000601007,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352022000601007&tlng=pt,[Perfis demográficos e assistenciais de cães e gatos associados ao perfil socioeconômico de seus tutores em áreas atendidas por Estratégias de Saúde da Família no Brasil],"Este estudo teve como objetivo avaliar a situação demográfica e de saúde de cães e gatos pertencentes a famílias assistidas pela Estratégia de Saúde da Família (ESF), de Santa Maria/RS, Brasil. Esta pesquisa foi um estudo transversal baseado na população adscrita, desenvolvido por meio da aplicação de questionário aos residentes das 16 áreas de ESF da cidade. Este foi o primeiro estudo que abordou as condições dos animais de estimação na área de ESF. Foram estudados 414 domicílios, e 88,5% deles tinham animais de estimação (cães e/ou gatos), com uma média de 2,2 cães e 0,8 gatos por domicílio. Apenas 18,4% (228/1,241) dos animais foram esterilizados (cães, 15,1% [135/891]; gatos, 26,7% [93/348]). Ao considerar o número de cães, os lares com um residente tinham menos cães que os lares com dois ou mais residentes (p=0,006). O nível de educação e a renda familiar não estavam associados ao número de animais (p>0,001). Entretanto, níveis mais altos de educação e renda familiar foram associados com a esterilização de cães, monitoramento veterinário, vacinação e tratamento de ectoparasitas em cães e gatos (p<0,0001). Adicionalmente, a maior renda familiar foi associada a uma maior freqüência de tratamento endoparasitário (p<0,05). O estudo mostra um alto número médio de animais de estimação por domicílio nas áreas de ESF em comparação com a população domiciliar média, bem como uma falta de cuidados veterinários, tornando essencial promover a custódia responsável.",demografia de cães; níveis de educação; custódia responsável; Sistema de Saúde da Família; Saúde Pública,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0102-09352022000601007&collection=scl&format=json
