ID,Title,Author(s),Source,Journal,Language(s),Publication year,PID_limpo,URL_PT,Titulo_PT,Resumo_PT,Palavras_Chave_PT,status,fonte_extracao,url_acedida
" ""S1982-88372022000300013-scl""",A sala de aula invertida no Ensino Superior: uma experiência nas aulas de língua alemã,"Marques, Lívia dos Santos",Pandaemonium Germanicum; 25(47); 13-36,Pandaemonium Germanicum,Português,2022,S1982-88372022000300013,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372022000300013&tlng=pt,A sala de aula invertida no Ensino Superior: uma experiência nas aulas de língua alemã,"Durante a pandemia de Covid-19, foi necessária adoção de novas medidas no ensino superior, a fim de manter o distanciamento social. Dessa maneira, o ensino remoto, tendo como base estudos sobre o ensino híbrido, tornou-se uma opção em uma disciplina de língua alemã da graduação. As pesquisas sobre sala de aula invertida online (Lee, Wallace 2018; Leffa, Duarte, Alda 2016; Reidsema, Kavanagh, Hadgraft 2017; Rozenfeld, Schäfer 2021; Valente 2014), mais especificamente, ajudaram-nos a estruturar um modelo, cujo primeiro contato assíncrono com o conteúdo antecedeu aulas práticas síncronas. O presente artigo tem como objetivo abordar a organização da disciplina pela professora e sua recepção por parte dos aprendizes. Dessa maneira, realizou-se uma pesquisa-ação, qualitativa, na qual foram coletados dados, a partir de documentos produzidos pela professora (calendário da disciplina e folhas de exercícios), assim como atividades e questionários respondidos pelos alunos. Por meio da análise dos dados, consideramos que o novo formato tem como foco o uso prático da língua, por meio da escrita colaborativa, role-plays, desenvolvimento de projetos, entre outras atividades, e foi bem recebido pelos alunos. Contudo, há ainda futuros encaminhamentos para a pesquisa, a fim de analisar o planejamento das aulas e avaliações.",Ensino remoto; Sala de aula invertida; Graduação em alemão como língua estrangeira,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/pg/a/FxNpxqfWbnmn5YGNYbyBk4n/?lang=pt
S1984-92302022000400750-scl,"A Pragmatic Way to Open Management Research and Education: Playfulness, Ambiguity, and Deterritorialization","Vaujany, François-Xavier de, Heimstädt, Maximilian",Organizações &amp; Sociedade; 29(103); 750-781,Organizações &amp; Sociedade,"Inglês, Português",2022,S1984-92302022000400750,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302022000400750&tlng=pt,"A Pragmatic Way to Open Management Research and Education: Playfulness, Ambiguity, and Deterritorialization","The open science movement has reached management research and education. Around the world, management scholars discuss, probe, and evaluate ways to make their work practices less ‘closed’ and more ‘open.’ However, how exactly such new work practices change management knowledge and teaching depends, to a large extent, on practitioners’ philosophical interpretation of ‘openness.’ Today, openness in management research and education is mainly interpreted as a feature of the input to or output from knowledge work. These interpretations conceive of research and education as relatively stable entities which can be opened at some clearly defined points. Our study aims to unsettle this conception and propose a new and more radical interpretation of openness. We propose to reconsider openness via the processual approach of American Pragmatism and thereby in a sense that dispenses with requiring the predisposition of research and education as stable entities. Via this interpretation of openness, management research and education can be transformed into a co-productive democratic movement which can bring about knowledge commons interwoven with true managerial and societal problems. To offer a first description of openness as a process that can transform management research and education, we analyze ethnographic material from two types of pragmatist experiments, which the first author facilitated between 2016 and 2021. We identify three key dimensions in the process of opening research and education: playfulness, ambiguity, and deterritorialization. Our study advances debates on the question of how management research can be more immediately helpful to management practitioners and students’ concerns.",open science; openness; pragmatism; John Dewey; playfulness; ambiguity; deterritorialization; process philosophy,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/osoc/a/RyBP5QV3w3tm3LyKggYKRXR/?lang=en
S0103-64402022000600044-scl,Development and professional validation of an App to support Oral Cancer Screening,"Rêgo, Talita Jordânia Rocha do, Lemos, José Vitor Mota, Matos, Amanda Pinheiro Leitão, Caetano, Caio Ferreira Freire, Dantas, Thinali Sousa, Sousa, Fabrício Bitu, Barros Filho, Edgar Marçal de, Silva, Paulo Goberlânio de Barros",Brazilian Dental Journal; 33(6); 44-55,Brazilian Dental Journal,Inglês,2022,S0103-64402022000600044,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402022000600044&tlng=pt,Development and professional validation of an App to support Oral Cancer Screening,"The objective of this study was to develop and validate an App for identifying risk factors for oral cancer. To this end, we developed an App (OCS: Oral Cancer Screening) with predictors of Oral Cancer (OC) and algorithm assembly to estimate the risk of its development. Methodology: Simulated clinical cases were designed so that 40 professionals with expertise in oral diagnostics could validate the algorithm and test its usability (SUS: System Usability Score) and acceptability (TAM: Technology Acceptance Model). Cronbach's alpha coefficient, Friedman/Dunn tests, and Spearman correlation evaluated the SUS and TAM scales. ROC curve was plotted to estimate the cutoff point of the algorithm in suggesting a high risk for OCS of the simulated cases. Chi-square and Fisher's exact tests were additionally used (p<0.05, SPSS v20.0). Results: Professionals with expertise in oral diagnosis had usability of 84.63±10.66 and acceptability of 84.75±10.62, which correlated positively (p<0.001, r=0.647). Acting in clinical areas of dentistry (p=0.034) and history of performing OC risk factor orientation (p=0.048) increased acceptability while acting in higher education increased usability (p=0.011). The cutoff point suggested by the App after validation of the simulated clinical cases showed high sensitivity of 84.8% and lower specificity of 58.4%. Conclusion: The OCS was effective and with adequate sensitivity, usability, and acceptability and may contribute to the detection of early oral lesions.",Squamous Cell Carcinoma; Family Health Strategy; Early Diagnosis; Mobile Apps; Smartphone,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/bdj/a/6BnhHH4XCKmgzVyRF3rkMKB/?lang=en
S1980-57642022000500457-scl,Prevalence of cognitive impairment in Brazilian indigenous community from Amazonas,"Carvalho, Anna Paula de, Brucki, Sonia Maria Dozzi, Nitrini, Ricardo, Bezerra, Camila Carlos, Silva, Fernanda Carini da, Souza-Talarico, Juliana Nery de",Dementia &amp; Neuropsychologia; 16(4); 457-465,Dementia &amp; Neuropsychologia,Inglês,2022,S1980-57642022000500457,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642022000500457&tlng=pt,Prevalence of cognitive impairment in Brazilian indigenous community from Amazonas,". Studies on the prevalence of dementia in the indigenous population are still scarce worldwide. In the few available studies, prevalence evidence varies from low to very high, with early onset of the disease and high mortality rate after the initial diagnosis. Still, little is known about the rate of dementia in indigenous populations from low- and middle-income countries, where the dementia prevalence in the general population is estimated to increase significantly in the next decades. Objective: This study aimed to determine the prevalence of cognitive impairment and associated factors in Brazilian indigenous people of the Mura ethnicity in Amazonas, Brazil. Methods: A total of 217 indigenous individuals aged 50 years and older from Amazonas, Brazil, were submitted to cognitive assessment. Attention, memory, verbal fluency, visuospatial performance, and mood state composed the cognitive impairment diagnosis. Results: The prevalence of cognitive impairment was 43.3% (95%CI 36.6-49.7) and varied according to age [OR=1.03 (95%CI 1.00-1.06)], education [OR=0.74 (95%CI 0.62-0.87)], body mass index [OR=0.91 (95%CI 0.83-0.98)], and income [OR=0.52 (95%CI 0.27-0.99)]. Conclusions: Cognitive impairment had an early onset in an indigenous community, and its prevalence was greater in older individuals with low education and low family income. These findings highlight the importance of implementing public indigenous health policies focusing on health professional training for early cognitive impairment detection.",Cognitive Dysfunction; Dementia; Population Groups; Epidemiology; Prevalence,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/dn/a/6DD3rLh7rVmLBvSTmcSgY9F/?lang=en
S1980-57642022000500481-scl,Three verbal fluency tasks: Normative data and convergent validity in Argentines over 50 years,"Martino, Pablo, Cervigni, Mauricio, Portillo, Nelson, Gallegos, Miguel, Politis, Daniel, Bortoli, Miguel Ángel De, Vivas, Jorge",Dementia &amp; Neuropsychologia; 16(4); 481-488,Dementia &amp; Neuropsychologia,Inglês,2022,S1980-57642022000500481,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642022000500481&tlng=pt,Three verbal fluency tasks: Normative data and convergent validity in Argentines over 50 years,"Verbal fluency tasks are frequently used in neuropsychological assessment, standing out for their easy application and good sensitivity to early cognitive impairment. However, in Argentina, the availability of updated norms is limited, especially for the action fluency variant. There is also little evidence of validity. Objectives: The aim of this study was to obtain Argentine norms for three verbal fluency tasks and to analyze their convergent validity. Methods: Using a nonprobability sampling method, 303 Argentines from a nonclinical population (age mean=66.8, 50–91 years) were recruited to participate in this study. Those with medical conditions that could compromise neuropsychological performance were excluded. Three verbal fluency tasks (i.e., phonological, semantic, and action), the Montreal Cognitive Assessment (MoCA) test, and the Digit Span-WAIS III test were administered. Correlations and multiple regressions were subsequently performed. Results: Education and age significantly explained 11.8% of the variance in phonological fluency, 15.8% of the variance in semantic fluency, and 20.2% of the variance in action fluency. Hence, the normative data varied according to educational level and age group, with normal performance limit values between 9 and 14 for phonological fluency, 11 and 18 for semantic fluency, and 8 and 17 for action fluency. Positive correlations were obtained between all verbal fluency tasks, as well as between the MoCA test and the Digit Span test. Conclusions: This study supports the applicability of three verbal fluency tasks in an Argentine context by providing age- and education-corrected norms and acceptable evidence of convergent validity.",Neuropsychological Tests; Language; Speech; Argentina; Reproducibility of Results; Verbal Fluency,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/dn/a/7fJRp8bB4S6LYVvxTWSRyqS/?lang=en
S1414-462X2022000400606-scl,Desafios dos laboratórios públicos da área de saúde ambiental para implantação e manutenção dos requisitos de normativas da qualidade para monitoramento da água de consumo humano,"Rodrigues, Elô de Oliveira, Rodrigues, Janaína Marques, Borges, Paulo Paschoal, Sena, Rodrigo Caciano de, Almeida, Marcelo Dominguez de",Cadernos Saúde Coletiva; 30(4); 606-614,Cadernos Saúde Coletiva,Português,2022,S1414-462X2022000400606,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2022000400606&tlng=pt,Desafios dos laboratórios públicos da área de saúde ambiental para implantação e manutenção dos requisitos de normativas da qualidade para monitoramento da água de consumo humano,"Introdução O Ministério da Saúde (MS) é responsável pela vigilância da qualidade da água de consumo humano. A confiabilidade nos resultados do monitoramento de parâmetros analíticos minimiza riscos à saúde pública. Objetivo Retratar aspectos funcionais, a aplicação de ferramentas da qualidade e a aderência dos laboratórios públicos que atuam no monitoramento da água de consumo humano aos requisitos da norma ABNT NBR ISO/IEC 17025. Método A pesquisa foi realizada com 30 laboratórios públicos de todas as regiões do país, respondendo a um questionário elaborado com 49 perguntas sobre a formação e capacidade dos profissionais, garantia da validade dos resultados e sobre a determinação de parâmetros da qualidade da água. Resultados Dos 161 profissionais, 46% possuem mais de 10 anos de experiência e 65% têm formação superior. Capacitações específicas foram requeridas por todos. A validação dos métodos analíticos não foi realizada por 59%. Materiais de referência certificados são acessados por 41% e apenas 18% têm facilidade em adquiri-los. A participação em ensaios de proficiência foi reportada por 68% dos laboratórios, mas com poucos parâmetros avaliados e dificuldades em contratar provedores. Conclusão Evidenciou-se a necessidade de ações para fortalecimento da metrologia em laboratórios públicos que atuam na vigilância da qualidade da água.",água de consumo humano; laboratórios públicos; rastreabilidade metrológica; ferramentas da qualidade,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/cadsc/a/S9LSDsWmx7RDKsLqzzc5kQc/?lang=pt
S2179-89662022000402340-scl,Acesso ao ensino superior: efetividade normativa das cotas socioeconômicas,"Brito, Lauro Gurgel de, Sousa, Francisco Cavalcante de, Santos, Tharleton Luis de Castro",Revista Direito e Práxis; 13(4); 2340-2373,Revista Direito e Práxis,Português,2022,S2179-89662022000402340,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-89662022000402340&tlng=pt,Acesso ao ensino superior: efetividade normativa das cotas socioeconômicas,"Ações afirmativas são medidas especiais e temporárias que visam a reduzir desigualdades e a garantir oportunidades a sujeitos em situação de vulnerabilidade. Uma delas consiste em reservar vagas em universidades a alunos provenientes de escolas públicas. O objetivo deste artigo é avaliar se esse modelo de ação possui efetividade normativa no âmbito da Faculdade de Direito da UERN e mapear experiências nesse sentido. Trata-se de estudo de caso, com relevância acadêmica, jurídica e social, ao contribuir com o debate acerca do tema, avaliar políticas públicas e impactar na vida institucional. Fruto de pesquisa exploratória, bibliográfica e documental, método dedutivo e abordagem quantitativa, constata que, considerando o universo pesquisado, os ingressantes cotistas concluem o curso de Direito em igual prazo quando comparados com os não cotistas. Assim, essa ação afirmativa tem se revelado efetiva ao atender as expectativas geradas pela lei instituidora, garantindo o ingresso e a formação jurídica de modo equitativo a pessoas de menor poder aquisitivo.",Ações afirmativas; Cotas socioeconômicas; Efetividade normativa,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/rdp/a/Z6W77Jf57j6SFhKSGYZcVhf/?lang=pt
S1414-462X2022000400507-scl,A Política Nacional de Educação Permanente em Saúde e sua relação com a odontologia,"Almeida, Janaína Rocha de Sousa, Bizerril, Davi Oliveira, Saldanha, Kátia de Gois Holanda, Forte, Franklin Delano Soares, Almeida, Maria Eneide Leitão de",Cadernos Saúde Coletiva; 30(4); 507-516,Cadernos Saúde Coletiva,Português,2022,S1414-462X2022000400507,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2022000400507&tlng=pt,A Política Nacional de Educação Permanente em Saúde e sua relação com a odontologia,"Introdução O Sistema Único de Saúde tem passado por diversas mudanças, assim, diante do desafio de formação dos profissionais da saúde, o Ministério da Saúde instituiu a Política Nacional de Educação Permanente em Saúde (PNEPS), e a Educação Permanente em Saúde (EPS) passou a ser uma estratégia de transformação. Objetivo Analisar a percepção dos cirurgiões-dentistas (CD) sobre a PNEPS. Método Trata-se de um estudo epidemiológico, transversal e qualitativo, realizado no município de Fortaleza-CE. A população-alvo foram os CDs da Estratégia Saúde da Família (n = 173). Os dados foram coletados por meio de um questionário. A caracterização dos sujeitos da pesquisa foi realizada através do cálculo de frequência absoluta e percentual. Para avaliar as questões discursivas utilizou-se a análise de conteúdo de Bardin. Resultados A idade média da amostragem foi de 38.8 anos (±8.6), e o tempo de formação de 16.0 anos (±7.4). A maioria dos entrevistados eram do gênero feminino (74,6%) e casados (72,8%). As categorias encontradas foram: necessidade de atividades de EPS, aprendizagem significativa, trabalho em equipe, e Tecnologias Digitais de Informação e Comunicação (TDICs). Conclusão A EPS deve ser significativa, discutindo as dificuldades referentes ao trabalho em equipe. Dessa forma, sugere-se a utilização das TDICs para o desenvolvimento das atividades.",educação; estratégia saúde da família; saúde bucal,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/cadsc/a/bJLyFCNYtDb5vJTM75MxVcJ/?lang=pt
S0101-31572022000401043-scl,Measuring human capital: methodological framework for assessing competitiveness and economic development,"KORYAKOV, ALEXEY, KAZARYAN, IRINA, AFONASOVA, MARGARITA, LITVIN, IRINA",Brazilian Journal of Political Economy; 42(4); 1043-1061,Brazilian Journal of Political Economy,Inglês,2022,S0101-31572022000401043,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572022000401043&tlng=pt,Measuring human capital: methodological framework for assessing competitiveness and economic development,"This article focused on the relationship between human capital (HC) and competitiveness in Russia. The study examined (1) the impact of investments in knowledge-intensive industries on the socio-economic development; (2) the impact of the share of employees; (3) the impact of religious factors on HC; and (4) the problems of forming H at innovative enterprises. At the national level, the investments in knowledge-intensive industries exert no effect on the country’s socio-economic development. The GDP growth was proved to be directly related to the people’s desire to improve their qualifications. The impact of cultural, educational, and health factors differ across regions.",Human capital; innovation; investment; measuring methods; qualification.,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/rep/a/hqF7JKR3SdDTbksVbpvb54D/?lang=en
S0102-09352022000601007-scl,Demographics and health care profiles of dogs and cats associated with the socioeconomic profile of their tutors in areas assisted by Family Health Strategies in Brazil,"Felipetto, L.G., Fernandes, F.D., Vogel, F.S.F., Flores, E.F., Botton, S.A., Sangioni, L.A.",Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 74(6); 1007-1016,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Inglês,2022,S0102-09352022000601007,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352022000601007&tlng=pt,Demographics and health care profiles of dogs and cats associated with the socioeconomic profile of their tutors in areas assisted by Family Health Strategies in Brazil,"This study aimed to evaluate the demographic and healthcare situation of dogs and cats owned by families assisted by the Family Health Strategy (FHS), from Santa Maria/RS, Brazil. This research was a cross-sectional and population-based study developed by applying a questionnaire to residents in the 16 FHS areas of the city. This was the first study addressing pet animal conditions in the FHS area. A total of 414 households were studied, and 88.5% of them had pets (dogs and/or cats), with an average of 2.2 dogs and 0.8 cats per household. Only 18.4% (228/1.241) of the animals were sterilized (dogs, 15.1% [135/891]; cats, 26.7% [93/348]). When considering the number of dogs, households with one resident had fewer dogs than households with two or more residents (p=0.006). The level of education and family income were not associated with the number of animals (p>0.001). However, higher levels of education and family income were associated with the sterilization of dogs, veterinary monitoring, vaccination, and treatment of ectoparasites in dogs and cats (p<0.0001). Additionally, the higher family income was associated with a higher frequency of endoparasite treatment (p<0.05). The study shows a high average number of pets per household in FSH areas compared to the average household population as well as a lack of veterinary care, making it essential to promote responsible custody.",demographic of dogs; levels of education; responsible custody; Family Health System; Public Health,ok_completo,Titulo_PT←pag1_meta_tags | Resumo_PT←pag1_meta_tags | Palavras_Chave_PT←pag1_meta_tags,https://www.scielo.br/j/abmvz/a/WVrwbGKxwcHNkKDV7LPhrrb/?lang=en
