ID,Title,Author(s),Source,Journal,Language(s),Publication year
S1517-86922022000600726-scl,INFLUENCE OF MARTIAL ARTS ON THE PHYSIQUE OF PRACTICING COLLEGE STUDENTS,"Guan, Yunshen, Gao, Yuchi",Revista Brasileira de Medicina do Esporte; 28(6); 726-729,Revista Brasileira de Medicina do Esporte,Inglês,2022
S1982-88372022000300013-scl,A sala de aula invertida no Ensino Superior: uma experiência nas aulas de língua alemã,"Marques, Lívia dos Santos",Pandaemonium Germanicum; 25(47); 13-36,Pandaemonium Germanicum,Português,2022
S0101-41612022000400809-scl,"Impacts of a full-time school program on learning, school’s composition and infrastructure: The case of public schools in the state of São Paulo - Brazil fulltime full time learning s infrastructure","Fukushima, Ian Shinji Ferreira, Quintão, Giovanna Pavlovic, Pazello, Elaine Toldo",Estudos Econômicos (São Paulo); 52(4); 809-850,Estudos Econômicos (São Paulo),Inglês,2022
S0103-11042022000900297-scl,Promoção ao Aleitamento Materno nos Centros de Educação Infantil do município de São Paulo,"Reis, Lígia Cardoso dos, Romanelli, Kátia Iared Sebastião, Serra, Giovanna Luisi",Saúde em Debate; 46(spe5); 297-309,Saúde em Debate,Português,2022
S0103-11042022000900067-scl,"Interprofissionalidade, formação e trabalho colaborativo no contexto da saúde da família: pesquisa-ação Interprofissionalidade família pesquisaação pesquisa ação","Barbosa, Ailma de Souza, Teixeira, Barbara Rachelli Farias, Oliveira, Ayla Miranda, Pessoa, Talitha Rodrigues Ribeiro Fernandes, Vaz, Elenice Maria Cecchetti, Forte, Franklin Delano Soares",Saúde em Debate; 46(spe5); 67-79,Saúde em Debate,Português,2022
S2176-66812022000300655-scl,Avaliação em educação infantil: desafios brasileiros em diálogo com as experiências de Portugal e da Itália infantil,"Moro, Catarina, Savio, Donatella, Santos, Lúcia, Coelho, Rita de Cássia",Revista Brasileira de Estudos Pedagógicos; 103(265); 655-674,Revista Brasileira de Estudos Pedagógicos,Português,2022
S1519-38292022000400803-scl,"Factors associated with early weaning and spatial pattern of breastfeeding in territory in the Zona da Mata of Pernambuco, Brazil Pernambuco","Holanda, Eliane Rolim de, Silva, Isabela Lemos da",Revista Brasileira de Saúde Materno Infantil; 22(4); 803-812,Revista Brasileira de Saúde Materno Infantil,Inglês,2022
S1519-38292022000400999-scl,Social network of malnourished children and its association with family’s food and nutritional security familys family s,"Barros, Luciana Karla do Nascimento, Clemente, Ana Paula Grotti, Bueno, Nassib Bezerra, Silva Neto, Luiz Gonzaga Ribeiro, Pureza, Isabele Rejane de Oliveira Maranhão, Britto, Revilane Parente de Alencar, Santos, Mêllyna Rose Costa, Florêncio, Telma Maria de Menezes Toledo",Revista Brasileira de Saúde Materno Infantil; 22(4); 999-1006,Revista Brasileira de Saúde Materno Infantil,Inglês,2022
S1414-40772022000300493-scl,Proposta de instrumento de meta-avaliação da autoavaliação institucional na educação superior metaavaliação meta avaliação,"Zimmermann, Melissa Maria de Souza, Alves, Lourdes",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(3); 493-512,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S0103-507X2022000400499-scl,Prevalência e fatores associados a sintomas de depressão em familiares de pessoas hospitalizadas em unidade de terapia intensiva,"Souza, Luciana Maciel de, Freitas, Kátia Santana, Silva Filho, Aloísio Machado da, Teixeira, Jules Ramon Brito, Souza, Geysimara Santos Silveira, Fontoura, Elaine Guedes, Coifman, Alyne Henri Motta, Portela, Pollyana Pereira",Revista Brasileira de Terapia Intensiva; 34(4); 499-506,Revista Brasileira de Terapia Intensiva,Português,2022
